NVSCode,TaxonID,SpeciesName,Family,Genus,Species,BioStatus,PlantType,Palatibility,GrowthForm,PreferredTaxonID,PreferredCode,PreferredName,VernacularNames
CLAAGR,671,Cladonia aggregata,Cladoniaceae,Cladonia,aggregata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5023,CLAAGG,Cladia aggregata,
CLAARB,4482,Cladonia arbuscula,Cladoniaceae,Cladonia,arbuscula,Unknown,Non vascular,Unclassified,NonVascular,4482,CLAARB,Cladonia arbuscula,
CLAAUE,5678,Cladonia aueri,Cladoniaceae,Cladonia,aueri,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5678,CLAAUE,Cladonia aueri,
CLAAUS,675,Claytonia australasica,Portulacaceae,Claytonia,australasica,Absent,Vascular,Unclassified,Forb,2179,MONAUS,Montia australasica,
CLABAC,5854,Cladonia bacillaris,Cladoniaceae,Cladonia,bacillaris,Unknown,Non Vascular,Unclassified,NonVascular,4911,CLAMAC,Cladonia macilenta,
CLACAP,4483,Cladonia capitellata,Cladoniaceae,Cladonia,capitellata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4483,CLACAP,Cladonia capitellata,
CLACER,4484,Cladonia cervicornis,Cladoniaceae,Cladonia,cervicornis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4484,CLACER,Cladonia cervicornis,
CLACHL,5656,Cladonia chlorophaea,Cladoniaceae,Cladonia,chlorophaea,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5656,CLACHL,Cladonia chlorophaea,
CLACOC,7121,Cladonia coccifera,Cladoniaceae,Cladonia,coccifera,Unknown,Non Vascular,Unclassified,NonVascular,7121,CLACOC,Cladonia coccifera,
CLACOF,4485,Cladonia confusa,Cladoniaceae,Cladonia,confusa,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4485,CLACOF,Cladonia confusa,
CLACON,3149,Cladina confusa,Cladoniaceae,Cladina,confusa,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4485,CLACOF,Cladonia confusa,
CLACOR,5773,Cladonia corniculata,Cladoniaceae,Cladonia,corniculata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5773,CLACOR,Cladonia corniculata,
CLACRA,5694,Clasmatocolea crassiretis,Lophocoleaceae,Clasmatocolea,crassiretis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5694,CLACRA,Clasmatocolea crassiretis,
CLACRI,4486,Cladonia crispata,Cladoniaceae,Cladonia,crispata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4486,CLACRI,Cladonia crispata,
CLACSV,5830,Cladonia cervicornis subsp. verticillata,Cladoniaceae,Cladonia,cervicornis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5830,CLACSV,Cladonia cervicornis subsp. verticillata,
CLACVI,5852,Cladonia capitellata var. interhiascens,Cladoniaceae,Cladonia,capitellata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5852,CLACVI,Cladonia capitellata var. interhiascens,
CLADAR,5674,Cladonia darwinii,Cladoniaceae,Cladonia,darwinii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5674,CLADAR,Cladonia darwinii,
CLADEF,7968,Cladonia deformis,Cladoniaceae,Cladonia,deformis,Indigenous Non-Endemic,Non Vascular,Unclassified,Unknown,7968,CLADEF,Cladonia deformis,
CLADIA,668,Cladia species,Cladoniaceae,Cladia,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,668,CLADIA,Cladia species,
CLADIN,670,Cladina species,Cladoniaceae,Cladina,,Unknown,Non Vascular,Unclassified,NonVascular,670,CLADIN,Cladina species,
CLADON,673,Cladonia species,Cladoniaceae,Cladonia,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,673,CLADON,Cladonia species,
CLAENA,5816,Cladonia enantia,Cladoniaceae,Cladonia,enantia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5816,CLAENA,Cladonia enantia,
CLAERI,3488,Cladomnion ericoides,Ptychomniaceae,Cladomnion,ericoides,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,3488,CLAERI,Cladomnion ericoides,
CLAFIM,4487,Cladonia fimbriata,Cladoniaceae,Cladonia,fimbriata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4487,CLAFIM,Cladonia fimbriata,
CLAFUL,4481,Cladia fuliginosa,Cladoniaceae,Cladia,fuliginosa,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4481,CLAFUL,Cladia fuliginosa,
CLAFUR,4488,Cladonia furcata,Cladoniaceae,Cladonia,furcata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4488,CLAFUR,Cladonia furcata,
CLAGRA,4489,Cladonia gracilis,Cladoniaceae,Cladonia,gracilis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4489,CLAGRA,Cladonia gracilis,
CLAGRY,5848,Cladonia grayi,Cladoniaceae,Cladonia,grayi,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5848,CLAGRY,Cladonia grayi,
CLAHML,6494,Cladonia humilis,Cladoniaceae,Cladonia,humilis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,6494,CLAHML,Cladonia humilis,
CLAHUM,4495,Clasmatocolea humilis,Lophocoleaceae,Clasmatocolea,humilis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4495,CLAHUM,Clasmatocolea humilis,
CLAHVB,6006,Cladonia humilis var. bourgeanica,Cladoniaceae,Cladonia,humilis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,6006,CLAHVB,Cladonia humilis var. bourgeanica,
CLAIFL,5866,Clasmatocolea inflexispina,Lophocoleaceae,Clasmatocolea,inflexispina,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5866,CLAIFL,Clasmatocolea inflexispina,
CLAIMB,6542,Cladonia imbricata,Cladoniaceae,Cladonia,imbricata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,6542,CLAIMB,Cladonia imbricata,
CLAINF,672,Cladonia inflata,Cladoniaceae,Cladonia,inflata,Unknown,Non Vascular,Unclassified,NonVascular,672,CLAINF,Cladonia inflata,
CLAMAC,4911,Cladonia macilenta,Cladoniaceae,Cladonia,macilenta,Unknown,Non Vascular,Unclassified,NonVascular,4911,CLAMAC,Cladonia macilenta,
CLAMIT,5657,Cladonia mitis,Cladoniaceae,Cladonia,mitis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5657,CLAMIT,Cladonia mitis,
CLAMUR,5619,Cladonia murrayi,Cladoniaceae,Cladonia,murrayi,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5619,CLAMUR,Cladonia murrayi,
CLANIT,8057,Cladonia nitidella,Cladoniaceae,Cladonia,nitidella,Indigenous Endemic,Non Vascular,Unclassified,Unknown,8057,CLANIT,Cladonia nitidella,
CLANOT,4496,Clasmatocolea notophylla,Lophocoleaceae,Clasmatocolea,notophylla,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4496,CLANOT,Clasmatocolea notophylla,
CLAOCH,5140,Cladonia ochrochlora,Cladoniaceae,Cladonia,ochrochlora,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5140,CLAOCH,Cladonia ochrochlora,
CLAPER,676,Claytonia perfoliata,Portulacaceae,Claytonia,perfoliata,Exotic,Vascular,Unclassified,Forb,676,CLAPER,Claytonia perfoliata,Miner's lettuce; Winter purslane; 
CLAPIT,3414,Cladonia pityrea,Cladoniaceae,Cladonia,pityrea,Absent,Non Vascular,Unclassified,NonVascular,5034,CLARAM,Cladonia ramulosa,
CLAPLE,3788,Cladonia pleurota,Cladoniaceae,Cladonia,pleurota,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3788,CLAPLE,Cladonia pleurota,
CLAPOC,5642,Cladonia pocillum,Cladoniaceae,Cladonia,pocillum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5642,CLAPOC,Cladonia pocillum,
CLAPRO,4490,Cladonia tagname Prothalli,,,,Unknown,Non Vascular,Unclassified,NonVascular,4490,CLAPRO,Cladonia tagname Prothalli,
CLAPYX,4491,Cladonia pyxidata,Cladoniaceae,Cladonia,pyxidata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4491,CLAPYX,Cladonia pyxidata,
CLARAM,5034,Cladonia ramulosa,Cladoniaceae,Cladonia,ramulosa,Absent,Non Vascular,Unclassified,NonVascular,5034,CLARAM,Cladonia ramulosa,
CLAREI,5831,Cladonia rei,Cladoniaceae,Cladonia,rei,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5831,CLAREI,Cladonia rei,
CLARET,667,Cladia retipora,Cladoniaceae,Cladia,retipora,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,667,CLARET,Cladia retipora,
CLARIG,4492,Cladonia rigida,Cladoniaceae,Cladonia,rigida,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4492,CLARIG,Cladonia rigida,
CLASCA,4493,Cladonia scabriuscula,Cladoniaceae,Cladonia,scabriuscula,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4493,CLASCA,Cladonia scabriuscula,
CLASCH,5096,Cladia schizopora,Cladoniaceae,Cladia,schizopora,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5096,CLASCH,Cladia schizopora,
CLASMA,4497,Clasmatocolea species,Lophocoleaceae,Clasmatocolea,,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4497,CLASMA,Clasmatocolea species,
CLASOU,8031,Cladonia southlandica,Cladoniaceae,Cladonia,southlandica,Indigenous Non-Endemic,Non Vascular,Unclassified,Unknown,8031,CLASOU,Cladonia southlandica,
CLASQU,4494,Cladonia squamosa,Cladoniaceae,Cladonia,squamosa,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4494,CLASQU,Cladonia squamosa,
CLASTR,4498,Clasmatocolea strongylophylla,Lophocoleaceae,Clasmatocolea,strongylophylla,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4498,CLASTR,Clasmatocolea strongylophylla,
CLASUB,3694,Cladonia subulata,Cladoniaceae,Cladonia,subulata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3694,CLASUB,Cladonia subulata,
CLASUL,674,Cladonia sulphurina,Cladoniaceae,Cladonia,sulphurina,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,674,CLASUL,Cladonia sulphurina,
CLASUV,3364,Cladia sullivanii,Cladoniaceae,Cladia,sullivanii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3364,CLASUV,Cladia sullivanii,
CLATES,5635,Cladonia tessellata,Cladoniaceae,Cladonia,tessellata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5635,CLATES,Cladonia tessellata,
CLAVAR,3355,Clavaria species,Clavariaceae,Clavaria,,Absent,Non Vascular,Unclassified,NonVascular,3355,CLAVAR,Clavaria species,
CLAVAU,7153,Cladium vauthiera,Cyperaceae,Cladium,vauthiera,Indigenous Endemic,Vascular,Unclassified,Graminoid,1927,LEPAUS,Lepidosperma australe,
CLAVEM,4499,Clasmatocolea vermicularis,Lophocoleaceae,Clasmatocolea,vermicularis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4499,CLAVEM,Clasmatocolea vermicularis,
CLAVER,3618,Cladonia verticillata,Cladoniaceae,Cladonia,verticillata,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5830,CLACSV,Cladonia cervicornis subsp. verticillata,
CLAWEY,5591,Cladonia weymouthii,Cladoniaceae,Cladonia,weymouthii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5591,CLAWEY,Cladonia weymouthii,
CLAXIP,4988,Clandarium xiphophyllum,Blepharidophyllaceae,Clandarium,xiphophyllum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4988,CLAXIP,Clandarium xiphophyllum,
CLAYTO,4106,Claytonia species,Portulacaceae,Claytonia,,Exotic,Vascular,Unclassified,Forb,4106,CLAYTO,Claytonia species,
CLEAFO,677,Clematis afoliata,Ranunculaceae,Clematis,afoliata,Indigenous Endemic,Vascular,Not Selected,Vine,677,CLEAFO,Clematis afoliata,leafless clematis; 
CLEAUS,678,Clematis australis,Ranunculaceae,Clematis,australis,Indigenous Endemic,Vascular,Not Selected,Vine,681,CLEFOR,Clematis forsteri,
CLECUN,679,Clematis cunninghamii,Ranunculaceae,Clematis,cunninghamii,Indigenous Endemic,Vascular,Not Selected,Vine,679,CLECUN,Clematis cunninghamii,Akangākaukiore; Ngākau-kiore; Poko; Pokopoko; Pokopokonui-a-hura; Pōpokonui-a-hura; 
CLEFLA,7898,Clematis flammula,Ranunculaceae,Clematis,flammula,Exotic,Vascular,Unclassified,Unknown,7898,CLEFLA,Clematis flammula,
CLEFOE,680,Clematis foetida,Ranunculaceae,Clematis,foetida,Indigenous Endemic,Vascular,Not Selected,Vine,680,CLEFOE,Clematis foetida,
CLEFOR,681,Clematis forsteri,Ranunculaceae,Clematis,forsteri,Indigenous Endemic,Vascular,Not Selected,Vine,681,CLEFOR,Clematis forsteri,Pikiarero; Pōānanga; Pōhue; Pōhuehue; Pōpōhue; Puatataua; Puataua; Puatautaua; Puawānanga; Puawhānanga; Small white clematis; 
CLEHEX,682,Clematis hexasepala,Ranunculaceae,Clematis,hexasepala,Indigenous Endemic,Vascular,Not Selected,Vine,681,CLEFOR,Clematis forsteri,
CLEHOO,683,Clematis hookeriana,Ranunculaceae,Clematis,hookeriana,Indigenous Endemic,Vascular,Not Selected,Vine,681,CLEFOR,Clematis forsteri,
CLEIND,3630,Clematis indivisa,Ranunculaceae,Clematis,indivisa,Indigenous Endemic,Vascular,Not Selected,Vine,686,CLEPAN,Clematis paniculata,
CLEMAR,684,Clematis marata,Ranunculaceae,Clematis,marata,Indigenous Endemic,Vascular,Not Selected,Vine,684,CLEMAR,Clematis marata,
CLEMAT,690,Clematis species,Ranunculaceae,Clematis,,Indigenous Non-Endemic,Vascular,Not Selected,Vine,690,CLEMAT,Clematis species,Akakaikū; Akakaikūkū; Aka-kōpū-kererū; Akakūkū; Clematis; Hokokūkū; Pōānanga; Pōhue; Pōtaetae; Puatataua; Puatororaro; Upokonui-a-ura; 
CLEMMR,6690,Clematis marmoraria,Ranunculaceae,Clematis,marmoraria,Indigenous Endemic,Vascular,Not Selected,Vine,6690,CLEMMR,Clematis marmoraria,
CLEMON,685,Clematis montana,Ranunculaceae,Clematis,montana,Exotic,Vascular,Not Selected,Vine,685,CLEMON,Clematis montana,
CLEPAN,686,Clematis paniculata,Ranunculaceae,Clematis,paniculata,Indigenous Endemic,Vascular,Not Selected,Vine,686,CLEPAN,Clematis paniculata,Pikiarero; Pōhue; Pōpokonui-a-hura; Pūānanga; Puapua; Puatataua; Puataua; Puatauataua; Puawānanga; Puawhānanga; White clematis; 
CLEPAR,687,Clematis parviflora,Ranunculaceae,Clematis,parviflora,Indigenous Endemic,Vascular,Not Selected,Vine,679,CLECUN,Clematis cunninghamii,
CLEPET,688,Clematis petriei,Ranunculaceae,Clematis,petriei,Indigenous Endemic,Vascular,Not Selected,Vine,688,CLEPET,Clematis petriei,
CLEQUA,689,Clematis quadribracteolata,Ranunculaceae,Clematis,quadribracteolata,Indigenous Endemic,Vascular,Not Selected,Vine,689,CLEQUA,Clematis quadribracteolata,
CLETAN,691,Clematis tangutica,Ranunculaceae,Clematis,tangutica,Exotic,Vascular,Not Selected,Vine,691,CLETAN,Clematis tangutica,Lemon peel clematis; Oriental clematis; 
CLEVIT,692,Clematis vitalba,Ranunculaceae,Clematis,vitalba,Exotic,Vascular,Not Selected,Vine,692,CLEVIT,Clematis vitalba,Old man's beard; Traveller's joy; 
CLIDEN,694,Climacium dendroides,Climaciaceae,Climacium,dendroides,Exotic,Non Vascular,Unclassified,NonVascular,694,CLIDEN,Climacium dendroides,
CLIMAX,6692,Clianthus maximus,Leguminosae,Clianthus,maximus,Indigenous Endemic,Vascular,Unclassified,Shrub,6692,CLIMAX,Clianthus maximus,
CLIPUN,693,Clianthus puniceus,Leguminosae,Clianthus,puniceus,Indigenous Endemic,Vascular,Unclassified,Shrub,693,CLIPUN,Clianthus puniceus,Kaka beak; Kōwhai-ngutu-kākā; Lobster claw; Parrot's beak; 
CLIVUL,695,Clinopodium vulgare,Labiatae,Clinopodium,vulgare,Exotic,Vascular,Unclassified,Forb,695,CLIVUL,Clinopodium vulgare,Wild basil; 
COBSCA,696,Cobaea scandens,Polemoniaceae,Cobaea,scandens,Exotic,Vascular,Unclassified,Vine,696,COBSCA,Cobaea scandens,Cathedral bells; Cobaea; Cup and saucer vine; Purple-Bell Cobaea; 
COCCOC,3844,Coccocarpia species,Coccocarpiaceae,Coccocarpia,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3844,COCCOC,Coccocarpia species,
COCCOT,3455,Coccotrema species,Coccotremataceae,Coccotrema,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3455,COCCOT,Coccotrema species,
COCCUC,4501,Coccotrema cucurbitula,Coccotremataceae,Coccotrema,cucurbitula,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4501,COCCUC,Coccotrema cucurbitula,
COCGRA,5279,Cockaynea gracilis,Gramineae,Cockaynea,gracilis,Indigenous Endemic,Vascular,Unclassified,Graminoid,2997,STEGRC,Stenostachys gracilis,
COCKAY,3518,Cockaynea species,Gramineae,Cockaynea,,Indigenous Endemic,Vascular,Unclassified,Graminoid,6305,STENOS,Stenostachys species,
COCLAE,3616,Cockaynea laevis,Gramineae,Cockaynea,laevis,Indigenous Endemic,Vascular,Unclassified,Graminoid,6310,STELAE,Stenostachys laevis,
COCPAL,4500,Coccocarpia palmicola,Coccocarpiaceae,Coccocarpia,palmicola,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4500,COCPAL,Coccocarpia palmicola,
COCPEL,7465,Coccocarpia pellita,Coccocarpiaceae,Coccocarpia,pellita,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7465,COCPEL,Coccocarpia pellita,
CODADH,3925,Codium adhaerens,Codiaceae,Codium,adhaerens,Unknown,Non Vascular,Unclassified,NonVascular,3925,CODADH,Codium adhaerens,
CODFRA,3816,Codium fragile,Codiaceae,Codium,fragile,Unknown,Non Vascular,Unclassified,NonVascular,3816,CODFRA,Codium fragile,
CODMEN,6370,Codonoblepharon menziesii,Orthotrichaceae,Codonoblepharon,menziesii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4778,ZYGMEN,Zygodon menziesii,
COEFRU,7987,Coenogonium fruticulosum,Gyalectaceae,Coenogonium,fruticulosum,Indigenous Endemic,Non Vascular,Unclassified,Unknown,7987,COEFRU,Coenogonium fruticulosum,
COEIMP,4502,Coenogonium implexum,Gyalectaceae,Coenogonium,implexum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4502,COEIMP,Coenogonium implexum,
COENOG,5766,Coenogonium species,Gyalectaceae,Coenogonium,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5766,COENOG,Coenogonium species,
COILAC,4107,Coix lacryma-jobi,Gramineae,Coix,lacryma-jobi,Exotic,Vascular,Unclassified,Graminoid,4107,COILAC,Coix lacryma-jobi,Job's tears; Tangatanga; 
COLACI,701,Colobanthus acicularis,Caryophyllaceae,Colobanthus,acicularis,Indigenous Endemic,Vascular,Unclassified,Forb,701,COLACI,Colobanthus acicularis,
COLAFF,702,Colobanthus affinis,Caryophyllaceae,Colobanthus,affinis,Indigenous Non-Endemic,Vascular,Unclassified,Forb,702,COLAFF,Colobanthus affinis,
COLAPE,703,Colobanthus apetalus,Caryophyllaceae,Colobanthus,apetalus,Indigenous Non-Endemic,Vascular,Unclassified,Forb,703,COLAPE,Colobanthus apetalus,Colobanthus; 
COLAVA,7607,Colobanthus apetalus var. apetalus,Caryophyllaceae,Colobanthus,apetalus,Indigenous Non-Endemic,Vascular,Unclassified,Forb,7607,COLAVA,Colobanthus apetalus var. apetalus,
COLBRE,704,Colobanthus brevisepalus,Caryophyllaceae,Colobanthus,brevisepalus,Indigenous Endemic,Vascular,Unclassified,Forb,704,COLBRE,Colobanthus brevisepalus,
COLBUC,705,Colobanthus buchananii,Caryophyllaceae,Colobanthus,buchananii,Indigenous Endemic,Vascular,Unclassified,Forb,705,COLBUC,Colobanthus buchananii,Pin cushion; 
COLCAN,706,Colobanthus canaliculatus,Caryophyllaceae,Colobanthus,canaliculatus,Indigenous Endemic,Vascular,Unclassified,Forb,706,COLCAN,Colobanthus canaliculatus,
COLCAR,4509,Cololejeunea cardiocarpa,Lejeuneaceae,Cololejeunea,cardiocarpa,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4509,COLCAR,Cololejeunea cardiocarpa,
COLCAV,3225,Collomia cavanillesii,Polemoniaceae,Collomia,cavanillesii,Exotic,Vascular,Unclassified,Forb,3225,COLCAV,Collomia cavanillesii,Collomia; 
COLCOC,5690,Collema coccophorum,Collemataceae,Collema,coccophorum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8162,ENCCOC,Enchylium coccophorum,
COLDUR,5026,Collema durietzii,Collemataceae,Collema,durietzii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8177,LATDUR,Lathagrium durietzii,
COLELL,4989,Cololejeunea ellipsoidea,Lejeuneaceae,Cololejeunea,ellipsoidea,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,4989,COLELL,Cololejeunea ellipsoidea,
COLENS,5281,Colensoa species,Campanulaceae,Colensoa,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,2011,LOBELI,Lobelia species,
COLESC,7438,Colocasia esculenta,Araceae,Colocasia,esculenta,Exotic,Vascular,Unclassified,Forb,7438,COLESC,Colocasia esculenta,Dalo; Taro; 
COLEUS,697,Coleus species,Labiatae,Coleus,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,8194,PLECTR,Plectranthus species,
COLFAS,5137,Collema fasciculare,Collemataceae,Collema,fasciculare,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8138,ARCFAS,Arctomia fascicularis,
COLFLO,7192,Cololejeunea floccosa,Lejeuneaceae,Cololejeunea,floccosa,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7192,COLFLO,Cololejeunea floccosa,
COLFRA,5562,Collema fragrans,Collemataceae,Collema,fragrans,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5562,COLFRA,Collema fragrans,
COLFVM,6024,Collema fasciculare var. microcarpum,Collemataceae,Collema,fasciculare,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8223,ARCFVM,Arctomia fascicularis var. microcarpa,
COLGLA,4503,Collema glaucophthalmum,Collemataceae,Collema,glaucophthalmum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4503,COLGLA,Collema glaucophthalmum,
COLHAS,698,Collospermum hastatum,Asteliaceae,Collospermum,hastatum,Indigenous Endemic,Vascular,Unclassified,Graminoid,7760,ASTHAS,Astelia hastata,Kahakaha; Kōkaha; Pūwharawhara; Puwherowhero; Tākahakaha; 
COLHOD,5625,Cololejeunea hodgsoniae,Lejeuneaceae,Cololejeunea,hodgsoniae,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,5625,COLHOD,Cololejeunea hodgsoniae,
COLHOO,6693,Colobanthus hookeri,Caryophyllaceae,Colobanthus,hookeri,Indigenous Endemic,Vascular,Unclassified,Forb,6693,COLHOO,Colobanthus hookeri,
COLINF,5964,Cololejeunea inflexifolia,Lejeuneaceae,Cololejeunea,inflexifolia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,5964,COLINF,Cololejeunea inflexifolia,
COLKAU,4504,Collema kauaiense,Collemataceae,Collema,kauaiense,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,8212,SCYKAU,Scytinium kauaiense,
COLLAE,4505,Collema laeve,Collemataceae,Collema,laeve,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4505,COLLAE,Collema laeve,
COLLAV,4779,Cololejeunea laevigata,Lejeuneaceae,Cololejeunea,laevigata,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4779,COLLAV,Cololejeunea laevigata,
COLLEM,3412,Collema species,Collemataceae,Collema,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3412,COLLEM,Collema species,
COLLEU,4506,Collema leucocarpum,Collemataceae,Collema,leucocarpum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4506,COLLEU,Collema leucocarpum,
COLLOS,700,Collospermum species,Asteliaceae,Collospermum,,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,253,ASTELI,Astelia species,
COLMAS,6756,Colobanthus masonae,Caryophyllaceae,Colobanthus,masonae,Indigenous Endemic,Vascular,Unclassified,Forb,6756,COLMAS,Colobanthus masonae,
COLMIC,699,Collospermum microspermum,Asteliaceae,Collospermum,microspermum,Indigenous Endemic,Vascular,Unclassified,Graminoid,7761,ASTMIC,Astelia microsperma,
COLMIN,4511,Cololejeunea minutissima,Lejeuneaceae,Cololejeunea,minutissima,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,8217,MYRMIN,Myriocoleopsis minutissima,
COLMON,707,Colobanthus monticola,Caryophyllaceae,Colobanthus,monticola,Indigenous Endemic,Vascular,Unclassified,Forb,707,COLMON,Colobanthus monticola,
COLMUE,708,Colobanthus muelleri,Caryophyllaceae,Colobanthus,muelleri,Indigenous Endemic,Vascular,Unclassified,Forb,708,COLMUE,Colobanthus muelleri,
COLNOV,4507,Collema novozelandicum,Collemataceae,Collema,novozelandicum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,8141,BLENOZ,Blennothallia novozelandica,
COLOBA,709,Colobanthus species,Caryophyllaceae,Colobanthus,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,709,COLOBA,Colobanthus species,
COLOLE,5851,Cololejeunea species,Lejeuneaceae,Cololejeunea,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5851,COLOLE,Cololejeunea species,
COLPHY,3574,Colensoa physaloides,Campanulaceae,Colensoa,physaloides,Indigenous Endemic,Vascular,Unclassified,Forb,7692,LOBPHY,Lobelia physaloides,
COLPUL,3854,Coleonema pulchrum,Rutaceae,Coleonema,pulchrum,Exotic,Vascular,Unclassified,Shrub,3854,COLPUL,Coleonema pulchrum,Breath of Heaven; Diosma; 
COLSAC,711,Colura saccophylla,Lejeuneaceae,Colura,saccophylla,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,711,COLSAC,Colura saccophylla,
COLSQU,6694,Colobanthus squarrosus,Caryophyllaceae,Colobanthus,squarrosus,Indigenous Endemic,Vascular,Unclassified,Forb,6694,COLSQU,Colobanthus squarrosus,
COLSSD,6696,Colobanthus squarrosus subsp. drucei,Caryophyllaceae,Colobanthus,squarrosus,Indigenous Endemic,Vascular,Unclassified,Forb,6696,COLSSD,Colobanthus squarrosus subsp. drucei,
COLSSS,6695,Colobanthus squarrosus subsp. squarrosus,Caryophyllaceae,Colobanthus,squarrosus,Indigenous Endemic,Vascular,Unclassified,Forb,6695,COLSSS,Colobanthus squarrosus subsp. squarrosus,
COLSTR,710,Colobanthus strictus,Caryophyllaceae,Colobanthus,strictus,Indigenous Endemic,Vascular,Unclassified,Forb,710,COLSTR,Colobanthus strictus,
COLSUB,4508,Collema subconveniens,Collemataceae,Collema,subconveniens,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4508,COLSUB,Collema subconveniens,
